uuid,group,qid,correct,time
592d8e3345e6163b450c916e,A,Q3,true,24624
592d8e3345e6163b450c916e,A,Q4,true,26088
592d8e3345e6163b450c916e,A,Q6,true,19095
592d8e3345e6163b450c916e,A,Q5,true,28645
592d90dd45e6163b450c916f,A,Q3,true,24613
592d90dd45e6163b450c916f,A,Q1,false,10716
592d90dd45e6163b450c916f,A,Q2,true,13601
592d90dd45e6163b450c916f,A,Q4,true,17284
592d90dd45e6163b450c916f,A,Q6,true,11554
592d90dd45e6163b450c916f,A,Q5,true,34211
592e926845e6163b450c9174,B,Q1,true,29538
592e926845e6163b450c9174,B,Q3,true,20014
592e926845e6163b450c9174,B,Q2,true,17460
592e926845e6163b450c9174,B,Q5,true,15245
592e926845e6163b450c9174,B,Q6,true,9532
592e926845e6163b450c9174,B,Q4,true,10628
592e95af45e6163b450c9175,A,Q2,false,50385
592e95af45e6163b450c9175,A,Q3,true,30385
592e95af45e6163b450c9175,A,Q1,true,31592
592e95af45e6163b450c9175,A,Q4,true,46297
592e95af45e6163b450c9175,A,Q5,true,33470
592e95af45e6163b450c9175,A,Q6,false,53565
592ea8a945e6163b450c9179,B,Q2,true,24454
592ea8a945e6163b450c9179,B,Q3,true,24053
592ea8a945e6163b450c9179,B,Q1,false,14389
592ea8a945e6163b450c9179,B,Q4,true,11586
592ea8a945e6163b450c9179,B,Q6,true,12991
592ea8a945e6163b450c9179,B,Q5,true,14982
592eaefb45e6163b450c917a,A,Q3,false,27119
592eaefb45e6163b450c917a,A,Q1,true,41443
592eaefb45e6163b450c917a,A,Q2,true,15105
592eaefb45e6163b450c917a,A,Q6,true,27791
592eaefb45e6163b450c917a,A,Q4,true,17862
592eaefb45e6163b450c917a,A,Q5,true,24166
592eb8b545e6163b450c917b,B,Q1,true,31288
592eb8b545e6163b450c917b,B,Q2,true,17031
592eb8b545e6163b450c917b,B,Q3,true,16888
592eb8b545e6163b450c917b,B,Q5,true,54814
592eb8b545e6163b450c917b,B,Q6,true,11024
592eb8b545e6163b450c917b,B,Q4,true,10910
592eb9fd45e6163b450c917c,B,Q1,true,16055
592eb9fd45e6163b450c917c,B,Q2,true,19544
592eb9fd45e6163b450c917c,B,Q3,true,15102
592eb9fd45e6163b450c917c,B,Q6,true,21127
592eb9fd45e6163b450c917c,B,Q5,true,20440
592eb9fd45e6163b450c917c,B,Q4,true,28582
592ebdb745e6163b450c917d,A,Q2,true,18461
592ebdb745e6163b450c917d,A,Q3,true,25287
592ebdb745e6163b450c917d,A,Q1,true,22698
592ebdb745e6163b450c917d,A,Q6,true,13097
592ebdb745e6163b450c917d,A,Q4,true,16275
592ebdb745e6163b450c917d,A,Q5,true,27491
592ec16345e6163b450c9180,A,Q1,true,20967
592ec16345e6163b450c9180,A,Q3,true,22503
592ec16345e6163b450c9180,A,Q2,false,10694
592ec16345e6163b450c9180,A,Q5,true,20967
592ec16345e6163b450c9180,A,Q6,false,10374
592ec16345e6163b450c9180,A,Q4,true,14815
592ec28245e6163b450c9181,A,Q3,false,29866
592ec28245e6163b450c9181,A,Q1,false,14746
592ec28245e6163b450c9181,A,Q2,true,57738
592ec28245e6163b450c9181,A,Q6,true,14530
592ec28245e6163b450c9181,A,Q5,true,18383
592ec28245e6163b450c9181,A,Q4,true,19292
592ec38645e6163b450c9182,B,Q3,true,87003
592ec38645e6163b450c9182,B,Q1,true,16280
592ec38645e6163b450c9182,B,Q2,true,36676
592ec38645e6163b450c9182,B,Q4,true,27926
592ec38645e6163b450c9182,B,Q6,true,19746
592ec38645e6163b450c9182,B,Q5,true,19478
592ec91445e6163b450c9186,B,Q1,true,395902
592ec91445e6163b450c9186,B,Q3,true,23799
592ec91445e6163b450c9186,B,Q2,true,38599
592ec91445e6163b450c9186,B,Q5,true,26327
592ec91445e6163b450c9186,B,Q4,true,19606
592ec91445e6163b450c9186,B,Q6,true,14823
